2025-10-30 16:38:08 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.000 accel=0.149 progress=21.46
2025-10-30 16:38:08 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 22.42/78.49, horizon 4, dt 0.08
2025-10-30 16:38:08 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:08 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.000 accel=0.106 progress=22.42
2025-10-30 16:38:08 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 23.38/78.49, horizon 4, dt 0.08
2025-10-30 16:38:08 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:08 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.000 accel=0.076 progress=23.38
2025-10-30 16:38:08 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 24.34/78.49, horizon 4, dt 0.08
2025-10-30 16:38:08 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:08 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.000 accel=0.054 progress=24.34
2025-10-30 16:38:08 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 25.30/78.49, horizon 4, dt 0.08
2025-10-30 16:38:08 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:08 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.000 accel=0.039 progress=25.30
2025-10-30 16:38:08 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 26.26/78.49, horizon 4, dt 0.08
2025-10-30 16:38:08 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:08 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.000 accel=0.028 progress=26.26
2025-10-30 16:38:08 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 27.22/78.49, horizon 4, dt 0.08
2025-10-30 16:38:08 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:08 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.000 accel=0.020 progress=27.22
2025-10-30 16:38:08 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 28.18/78.49, horizon 4, dt 0.08
2025-10-30 16:38:08 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:08 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.000 accel=0.014 progress=28.18
2025-10-30 16:38:08 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 29.14/78.49, horizon 4, dt 0.08
2025-10-30 16:38:08 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:08 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.000 accel=0.010 progress=29.14
2025-10-30 16:38:08 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 30.10/78.49, horizon 4, dt 0.08
2025-10-30 16:38:08 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:08 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.000 accel=0.007 progress=30.10
2025-10-30 16:38:08 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 31.06/78.49, horizon 4, dt 0.08
2025-10-30 16:38:08 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:08 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.000 accel=0.005 progress=31.06
2025-10-30 16:38:08 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 32.02/78.49, horizon 4, dt 0.08
2025-10-30 16:38:08 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:08 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.000 accel=0.004 progress=32.02
2025-10-30 16:38:08 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 32.98/78.49, horizon 4, dt 0.08
2025-10-30 16:38:08 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:08 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.000 accel=0.003 progress=32.98
2025-10-30 16:38:08 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 33.94/78.49, horizon 4, dt 0.08
2025-10-30 16:38:08 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:08 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.000 accel=0.002 progress=33.94
2025-10-30 16:38:08 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 34.90/78.49, horizon 4, dt 0.08
2025-10-30 16:38:08 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:08 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.000 accel=0.001 progress=34.90
2025-10-30 16:38:08 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 35.86/78.49, horizon 4, dt 0.08
2025-10-30 16:38:08 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:08 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.000 accel=0.001 progress=35.86
2025-10-30 16:38:08 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 36.82/78.49, horizon 4, dt 0.08
2025-10-30 16:38:08 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:08 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.000 accel=0.001 progress=36.82
2025-10-30 16:38:08 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 37.78/78.49, horizon 4, dt 0.08
2025-10-30 16:38:08 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:08 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.000 accel=0.000 progress=37.78
2025-10-30 16:38:08 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 38.74/78.49, horizon 4, dt 0.08
2025-10-30 16:38:09 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:09 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.000 accel=0.000 progress=38.74
2025-10-30 16:38:09 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 39.70/78.49, horizon 4, dt 0.08
2025-10-30 16:38:09 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:09 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.000 accel=0.000 progress=39.70
2025-10-30 16:38:09 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 40.66/78.49, horizon 4, dt 0.08
2025-10-30 16:38:09 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:09 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.000 accel=0.000 progress=40.66
2025-10-30 16:38:09 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 41.62/78.49, horizon 4, dt 0.08
2025-10-30 16:38:09 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:09 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.000 accel=0.000 progress=41.62
2025-10-30 16:38:09 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 42.58/78.49, horizon 4, dt 0.08
2025-10-30 16:38:09 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:09 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.000 accel=0.000 progress=42.58
2025-10-30 16:38:09 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 43.54/78.49, horizon 4, dt 0.08
2025-10-30 16:38:09 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:09 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.000 accel=0.000 progress=43.54
2025-10-30 16:38:09 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 44.50/78.49, horizon 4, dt 0.08
2025-10-30 16:38:09 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:09 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.000 accel=0.000 progress=44.50
2025-10-30 16:38:09 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 45.46/78.49, horizon 4, dt 0.08
2025-10-30 16:38:09 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:09 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.000 accel=0.000 progress=45.46
2025-10-30 16:38:09 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 46.42/78.49, horizon 4, dt 0.08
2025-10-30 16:38:09 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:09 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.000 accel=0.000 progress=46.42
2025-10-30 16:38:09 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 47.38/78.49, horizon 4, dt 0.08
2025-10-30 16:38:09 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:09 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.000 accel=0.000 progress=47.38
2025-10-30 16:38:09 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 48.34/78.49, horizon 4, dt 0.08
2025-10-30 16:38:09 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:09 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.000 accel=0.000 progress=48.34
2025-10-30 16:38:09 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 49.30/78.49, horizon 4, dt 0.08
2025-10-30 16:38:09 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:09 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.000 accel=0.000 progress=49.30
2025-10-30 16:38:09 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 50.26/78.49, horizon 4, dt 0.08
2025-10-30 16:38:09 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:09 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.000 accel=0.000 progress=50.26
